49867 [2017-05-28 16:19:58,443] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Wait for Page load completed..
49887 [2017-05-28 16:19:58,463] [INFO ] [com.aem.genericutilities.CommonFunctions ] - opened the required page..
49899 [2017-05-28 16:19:58,475] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Wait for Page load completed..
49914 [2017-05-28 16:19:58,490] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: tab_spaday
49972 [2017-05-28 16:19:58,548] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //section[contains(@class,'b-magnet')]//button[contains(@class,'b-tabs__list-link') and contains(text(),'Spa Days')]
49973 [2017-05-28 16:19:58,549] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully locate element: tab_spaday
49973 [2017-05-28 16:19:58,549] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Booking Magnet is present
49974 [2017-05-28 16:19:58,550] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Clicking on Webelement..tab_spaday
49974 [2017-05-28 16:19:58,550] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside getObjectFromRepo() function...
49974 [2017-05-28 16:19:58,550] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: tab_spaday
49974 [2017-05-28 16:19:58,550] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
50001 [2017-05-28 16:19:58,577] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //section[contains(@class,'b-magnet')]//button[contains(@class,'b-tabs__list-link') and contains(text(),'Spa Days')]
50033 [2017-05-28 16:19:58,609] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //section[contains(@class,'b-magnet')]//button[contains(@class,'b-tabs__list-link') and contains(text(),'Spa Days')]
50033 [2017-05-28 16:19:58,609] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully located element: tab_spaday
50103 [2017-05-28 16:19:58,679] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully clicked on: tab_spaday
50157 [2017-05-28 16:19:58,733] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //form[@name='spadayForm']//select[@name='villageCode']
55404 [2017-05-28 16:20:03,980] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Selected the expected value from drop down...
59406 [2017-05-28 16:20:07,982] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: input_calendar
59407 [2017-05-28 16:20:07,983] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
59453 [2017-05-28 16:20:08,029] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //div[*[@id='spaDayDatePicker']]
59469 [2017-05-28 16:20:08,045] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Element is displayed..
59470 [2017-05-28 16:20:08,046] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Clicking on Webelement..input_calendar
59470 [2017-05-28 16:20:08,046] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside getObjectFromRepo() function...
59470 [2017-05-28 16:20:08,046] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: input_calendar
59470 [2017-05-28 16:20:08,046] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
59509 [2017-05-28 16:20:08,085] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //div[*[@id='spaDayDatePicker']]
59551 [2017-05-28 16:20:08,127] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //div[*[@id='spaDayDatePicker']]
59552 [2017-05-28 16:20:08,128] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully located element: input_calendar
59792 [2017-05-28 16:20:08,368] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully clicked on: input_calendar
59792 [2017-05-28 16:20:08,368] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Clicking on Webelement..input_calendar_year
59793 [2017-05-28 16:20:08,369] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside getObjectFromRepo() function...
59793 [2017-05-28 16:20:08,369] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: input_calendar_year
59793 [2017-05-28 16:20:08,369] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
59843 [2017-05-28 16:20:08,419] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-year']|.//*[@id='pika-title-ix']/div[2]/select
59879 [2017-05-28 16:20:08,455] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-year']|.//*[@id='pika-title-ix']/div[2]/select
59879 [2017-05-28 16:20:08,455] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully located element: input_calendar_year
59968 [2017-05-28 16:20:08,544] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully clicked on: input_calendar_year
59968 [2017-05-28 16:20:08,544] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside getObjectFromRepo() function...
59968 [2017-05-28 16:20:08,544] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: input_calendar_year
59968 [2017-05-28 16:20:08,544] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
60024 [2017-05-28 16:20:08,600] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-year']|.//*[@id='pika-title-ix']/div[2]/select
60113 [2017-05-28 16:20:08,689] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-year']|.//*[@id='pika-title-ix']/div[2]/select
60113 [2017-05-28 16:20:08,689] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully located element: input_calendar_year
60243 [2017-05-28 16:20:08,819] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Dropdown- input_calendar_year successfully selected by value- 2017
62243 [2017-05-28 16:20:10,819] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Clicking on Webelement..input_calendar_month
